Tariff Item,Harmonized System (HS) Heading,Indicative Description,code    subgroup,,stage
1905.31.21,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa; communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice paper and similar products.","Sweet biscuits; waffles and wafers: Sweet biscuits: Other biscuits valued at 44¢/kg or more, said value to be based on the net weight and to include the value of the usual retail package: Containing 25% or more by weight of wheat, within access commitment",190531,21,2
1905.31.22,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa; communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice paper and similar products.","Sweet biscuits; waffles and wafers: Sweet biscuits: Other biscuits valued at 44¢/kg or more, said value to be based on the net weight and to include the value of the usual retail package: Containing 25% or more by weight of wheat, in packages of a weight not exceeding 1.36 kg each, over access commitment",190531,22,2
1905.31.23,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa; communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice paper and similar products.","Sweet biscuits; waffles and wafers: Sweet biscuits: Other biscuits valued at 44¢/kg or more, said value to be based on the net weight and to include the value of the usual retail package: Containing 25% or more by weight of wheat, over access commitment",190531,23,2
1905.31.29,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa; communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice paper and similar products.","Sweet biscuits; waffles and wafers: Sweet biscuits: Other biscuits valued at 44¢/kg or more, said value to be based on the net weight and to include the value of the usual retail package: Other",190531,29,2
1905.31.91,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa; communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice paper and similar products.","Sweet biscuits; waffles and wafers: Sweet biscuits: Other: Containing 25% or more by weight of wheat, within access commitment",190531,91,2
1905.31.92,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa; communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice paper and similar products.","Sweet biscuits; waffles and wafers: Sweet biscuits: Other: Sweet biscuits containing 25% or more by weight of wheat, in packages of a weight not exceeding 1.36 kg each, over access commitment",190531,92,2
1905.31.93,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa; communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice paper and similar products.","Sweet biscuits; waffles and wafers: Sweet biscuits: Other: Other, containing 25% or more by weight of wheat, over access commitment",190531,93,2
1905.31.99,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa; communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice paper and similar products.",Sweet biscuits; waffles and wafers: Sweet biscuits: Other: Other,190531,99,2
1905.32.10,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa; communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice paper and similar products.",Sweet biscuits; waffles and wafers: Waffles and wafers: Certified by Health Canada as special low protein or protein-free products,190532,10,2
1905.32.91,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa; communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice paper and similar products.","Sweet biscuits; waffles and wafers: Waffles and wafers: Other: Containing 25% or more by weight of wheat, within access commitment",190532,91,2
1905.32.92,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa; communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice paper and similar products.","Sweet biscuits; waffles and wafers: Waffles and wafers: Other: Wafers and frozen waffles containing 25% or more by weight of wheat, in packages of a weight not exceeding 454 g each, over access commitment",190532,92,2
1905.32.93,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa; communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice paper and similar products.","Sweet biscuits; waffles and wafers: Waffles and wafers: Other: Other, containing 25% or more by weight of wheat, over access commitment",190532,93,2
1905.32.99,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa; communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice paper and similar products.",Sweet biscuits; waffles and wafers: Waffles and wafers: Other: Other,190532,99,2
1905.40.10,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa; communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice paper and similar products.","Rusks, toasted bread and similar toasted products: Special dietary, as defined under regulations of Health Canada",190540,10,2
1905.40.20,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa; communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice paper and similar products.","Rusks, toasted bread and similar toasted products: Other, leavened with yeast, containing 25% or more by weight of wheat, within access commitment",190540,20,2
1905.40.31,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa; communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice paper and similar products.","Rusks, toasted bread and similar toasted products: Other, leavened with yeast, containing 25% or more by weight of wheat, over access commitment: In packages of a weight not exceeding 454 g each",190540,31,2
1905.40.39,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa; communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice paper and similar products.","Rusks, toasted bread and similar toasted products: Other, leavened with yeast, containing 25% or more by weight of wheat, over access commitment: Other",190540,39,2
1905.40.40,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa; communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice paper and similar products.","Rusks, toasted bread and similar toasted products: Other, leavened with yeast",190540,40,2
1905.40.50,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa; communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice paper and similar products.","Rusks, toasted bread and similar toasted products: Other, not leavened with yeast, containing 25% or more by weight of wheat, within access commitment",190540,50,2
1905.40.61,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa; communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice paper and similar products.","Rusks, toasted bread and similar toasted products: Other, not leavened with yeast, containing 25% or more by weight of wheat, over access commitment: In packages of a weight not exceeding 454 g each",190540,61,2
1905.40.69,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa; communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice paper and similar products.","Rusks, toasted bread and similar toasted products: Other, not leavened with yeast, containing 25% or more by weight of wheat, over access commitment: Other",190540,69,2
1905.40.90,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa; communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice paper and similar products.","Rusks, toasted bread and similar toasted products: Other",190540,90,2
1905.90.10,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa; communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice paper and similar products.",Other: Special dietary biscuits as defined under regulations of Health Canada; Low protein or protein-free biscuits certified by Health Canada as special low protein or protein-free products,190590,10,2
1905.90.20,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa; communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice paper and similar products.","Other: Bread, leavened with yeast; Unleavened bread for sacramental purposes and communion wafers",190590,20,2
1905.90.31,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa; communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice paper and similar products.","Other: Other bread: Containing 25% or more by weight of wheat, in packages of a weight not exceeding 11.34 kg each, within access commitment",190590,31,2
1905.90.32,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa; communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice paper and similar products.","Other: Other bread: Fresh bread, buns and rolls, in packages of a weight not exceeding 1.36 kg each, or other bread in packages of a weight not exceeding 454 g each, containing 25% or more by weight of wheat, over access commitment",190590,32,2
1905.90.33,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa; communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice paper and similar products.","Other: Other bread: Other, containing 25% or more by weight of wheat, in packages of a weight not exceeding 11.34 kg each, over access commitment",190590,33,2
1905.90.34,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa; communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice paper and similar products.","Other: Other bread: Containing 25% or more by weight of wheat, in bulk or in packages of a weight exceeding 11.34 kg each, within access commitment",190590,34,2
1905.90.35,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa; communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice paper and similar products.","Other: Other bread: Containing 25% or more by weight of wheat, in bulk or in packages of a weight exceeding 11.34 kg each, over access commitment",190590,35,2
1905.90.39,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa; communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice paper and similar products.",Other: Other bread: Other,190590,39,2
1905.90.41,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa; communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice paper and similar products.","Other: Other biscuits: Containing 25% or more by weight of wheat, valued at 44¢/kg or more, said value to be based on the net weight and to include the value of the usual retail package, within access commitment",190590,41,2
1905.90.42,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa; communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice paper and similar products.","Other: Other biscuits: Other, containing 25% or more by weight of wheat, within access commitment",190590,42,2
1905.90.43,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa; communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice paper and similar products.","Other: Other biscuits: Containing 25% or more by weight of wheat, in packages of a weight not exceeding 1.36 kg each, over access commitment",190590,43,2
1905.90.44,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa; communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice paper and similar products.","Other: Other biscuits: Other, containing 25% or more by weight of wheat, valued at 44¢/kg or more, said value to be based on the net weight and to include the value of the usual retail package, over access commitment",190590,44,2
1905.90.45,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa; communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice paper and similar products.","Other: Other biscuits: Other, containing 25% or more by weight of wheat, over access commitment",190590,45,2
1905.90.49,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa; communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice paper and similar products.",Other: Other biscuits: Other,190590,49,2
1905.90.59,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa; communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice paper and similar products.","Other: Pizza and quiche; pastries, pies, puddings and cakes, including sweet products leavened with yeast; bakery products made without flour: Other",190590,59,2
1905.90.61,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa; communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice paper and similar products.","Other: Pretzels: Containing 25% or more by weight of wheat, within access commitment",190590,61,2
1905.90.62,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa; communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice paper and similar products.","Other: Pretzels: Containing 25% or more by weight of wheat, in packages of a weight not exceeding 1.36 kg each, over access commitment",190590,62,2
1905.90.63,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa; communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice paper and similar products.","Other: Pretzels: Containing 25% or more by weight of wheat, in packages of a weight exceeding 1.36 kg each, over access commitment",190590,63,2
1905.90.69,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa; communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice paper and similar products.",Other: Pretzels: Other,190590,69,2
1905.90.71,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa; communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice paper and similar products.","Other: Empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice paper and cheese flavoured dried bread sticks: In packages of a weight not exceeding 11.34 kg each",190590,71,2
1905.90.72,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa; communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice paper and similar products.","Other: Empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice paper and cheese flavoured dried bread sticks: In bulk or in packages of a weight exceeding 11.34 kg each",190590,72,2
1905.90.90,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa; communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice paper and similar products.",Other: Other,190590,90,2
2001.90.10,"Vegetables, fruit, nuts and other edible parts of plants, prepared or preserved by vinegar or acetic acid.",Other: Onions,200190,10,2
2001.90.90,"Vegetables, fruit, nuts and other edible parts of plants, prepared or preserved by vinegar or acetic acid.",Other: Other,200190,90,2
2002.10.00,Tomatoes prepared or preserved otherwise than by vinegar or acetic acid.,"Tomatoes, whole or in pieces",200210,00,2
2002.90.00,Tomatoes prepared or preserved otherwise than by vinegar or acetic acid.,Other,200290,00,2
2003.10.00,"Mushrooms and truffles, prepared or preserved otherwise than by vinegar or acetic acid.",Mushrooms of the genus Agaricus,200310,00,2
2003.90.10,"Mushrooms and truffles, prepared or preserved otherwise than by vinegar or acetic acid.",Other: Truffles,200390,10,2
2003.90.90,"Mushrooms and truffles, prepared or preserved otherwise than by vinegar or acetic acid.",Other: Other,200390,90,2
2004.10.00,"Other vegetables prepared or preserved otherwise than by vinegar or acetic acid, frozen, other than products of heading 20.06.",Potatoes,200410,00,2
2004.90.11,"Other vegetables prepared or preserved otherwise than by vinegar or acetic acid, frozen, other than products of heading 20.06.",Other vegetables and mixtures of vegetables: Baby carrots (of a length not exceeding 11 cm) and Brussels sprouts: Baby carrots (of a length not exceeding 11 cm),200490,11,2
2004.90.12,"Other vegetables prepared or preserved otherwise than by vinegar or acetic acid, frozen, other than products of heading 20.06.",Other vegetables and mixtures of vegetables: Baby carrots (of a length not exceeding 11 cm) and Brussels sprouts: Brussels sprouts,200490,12,2
2004.90.20,"Other vegetables prepared or preserved otherwise than by vinegar or acetic acid, frozen, other than products of heading 20.06.",Other vegetables and mixtures of vegetables: Asparagus,200490,20,2
2004.90.30,"Other vegetables prepared or preserved otherwise than by vinegar or acetic acid, frozen, other than products of heading 20.06.",Other vegetables and mixtures of vegetables: Broccoli and cauliflowers,200490,30,2
2004.90.91,"Other vegetables prepared or preserved otherwise than by vinegar or acetic acid, frozen, other than products of heading 20.06.","Other vegetables and mixtures of vegetables: Other: Artichokes (globe or Chinese), bamboo shoots, cactus leaves (nopales), cardoons, chickpeas (garbanzos), cilantro (Chinese or Mexican parsley or Yen Sai), jicama, leaf chervils, malanga, okra, peas (Angola, catjang, no-eye, pigeon), spinach, tamarillos (tree tomatoes), tarragons, tomatillos, topedos and verdolagas",200490,91,2
2004.90.99,"Other vegetables prepared or preserved otherwise than by vinegar or acetic acid, frozen, other than products of heading 20.06.",Other vegetables and mixtures of vegetables: Other: Other,200490,99,2
2005.10.00,"Other vegetables prepared or preserved otherwise than by vinegar or acetic acid, not frozen, other than products of heading 20.06.",Homogenized vegetables,200510,00,2
2005.20.00,"Other vegetables prepared or preserved otherwise than by vinegar or acetic acid, not frozen, other than products of heading 20.06.",Potatoes,200520,00,2
2005.40.00,"Other vegetables prepared or preserved otherwise than by vinegar or acetic acid, not frozen, other than products of heading 20.06.",Peas (Pisum sativum),200540,00,2
2005.51.10,"Other vegetables prepared or preserved otherwise than by vinegar or acetic acid, not frozen, other than products of heading 20.06.","Beans (Vigna spp., Phaseolus spp.): Beans, shelled: Red bean paste for use in the manufacture of food products",200551,10,2
2005.51.90,"Other vegetables prepared or preserved otherwise than by vinegar or acetic acid, not frozen, other than products of heading 20.06.","Beans (Vigna spp., Phaseolus spp.): Beans, shelled: Other",200551,90,2
2005.59.00,"Other vegetables prepared or preserved otherwise than by vinegar or acetic acid, not frozen, other than products of heading 20.06.","Beans (Vigna spp., Phaseolus spp.): Other",200559,00,2
2005.60.00,"Other vegetables prepared or preserved otherwise than by vinegar or acetic acid, not frozen, other than products of heading 20.06.",Asparagus,200560,00,2
2005.70.10,"Other vegetables prepared or preserved otherwise than by vinegar or acetic acid, not frozen, other than products of heading 20.06.",Olives: Olives sulphured or in brine but not in glass jars; Ripe olives in brine,200570,10,2
2005.70.90,"Other vegetables prepared or preserved otherwise than by vinegar or acetic acid, not frozen, other than products of heading 20.06.",Olives: Other,200570,90,2
2005.80.00,"Other vegetables prepared or preserved otherwise than by vinegar or acetic acid, not frozen, other than products of heading 20.06.",Sweet corn (Zea mays var. saccharata),200580,00,2
2005.91.00,"Other vegetables prepared or preserved otherwise than by vinegar or acetic acid, not frozen, other than products of heading 20.06.",Other vegetables and mixtures of vegetables: Bamboo shoots,200591,00,2
2005.99.11,"Other vegetables prepared or preserved otherwise than by vinegar or acetic acid, not frozen, other than products of heading 20.06.","Other vegetables and mixtures of vegetables: Other: Carrots: Baby carrots (of a length not exceeding 11 cm), in cans or glass jars",200599,11,2
2005.99.19,"Other vegetables prepared or preserved otherwise than by vinegar or acetic acid, not frozen, other than products of heading 20.06.",Other vegetables and mixtures of vegetables: Other: Carrots: Other,200599,19,2
2005.99.20,"Other vegetables prepared or preserved otherwise than by vinegar or acetic acid, not frozen, other than products of heading 20.06.","Other vegetables and mixtures of vegetables: Other: Artichokes (globe or Chinese), cactus leaves (nopales), cardoons, chickpeas (garbanzos), cilantro (Chinese or Mexican parsley or Yen Sai), jicama, leaf chervils, malanga, okra, peas (Angola, catjang, no-eye, pigeon), spinach, tamarillos (tree tomatoes), tarragons, tomatillos, topedos, verdolagas and water chestnuts",200599,20,2
2005.99.90,"Other vegetables prepared or preserved otherwise than by vinegar or acetic acid, not frozen, other than products of heading 20.06.",Other vegetables and mixtures of vegetables: Other: Other,200599,90,2
2006.00.10,"Vegetables, fruit, nuts, fruit-peel and other parts of plants, preserved by sugar (drained, glacé or crystallised).",Fruit; Fruit-peel,200600,10,2
2006.00.20,"Vegetables, fruit, nuts, fruit-peel and other parts of plants, preserved by sugar (drained, glacé or crystallised).",Nuts,200600,20,2
2006.00.90,"Vegetables, fruit, nuts, fruit-peel and other parts of plants, preserved by sugar (drained, glacé or crystallised).",Other,200600,90,2
2007.10.00,"Jams, fruit jellies, marmalades, fruit or nut purée and fruit or nut pastes, obtained by cooking, whether or not containing added sugar or other sweetening matter.",Homogenized preparations,200710,00,2
2007.91.00,"Jams, fruit jellies, marmalades, fruit or nut purée and fruit or nut pastes, obtained by cooking, whether or not containing added sugar or other sweetening matter.",Other: Citrus fruit,200791,00,2
2007.99.10,"Jams, fruit jellies, marmalades, fruit or nut purée and fruit or nut pastes, obtained by cooking, whether or not containing added sugar or other sweetening matter.",Other: Other: Strawberry jam,200799,10,2
2007.99.20,"Jams, fruit jellies, marmalades, fruit or nut purée and fruit or nut pastes, obtained by cooking, whether or not containing added sugar or other sweetening matter.",Other: Other: Banana purée,200799,20,2
2007.99.90,"Jams, fruit jellies, marmalades, fruit or nut purée and fruit or nut pastes, obtained by cooking, whether or not containing added sugar or other sweetening matter.",Other: Other: Other,200799,90,2
2008.19.10,"Fruit, nuts and other edible parts of plants, otherwise prepared or preserved, whether or not containing added sugar or other sweetening matter or spirit, not elsewhere specified or included.","Nuts, ground-nuts and other seeds, whether or not mixed together: Other, including mixtures: Almonds and pistachio nuts",200819,10,2
2008.19.90,"Fruit, nuts and other edible parts of plants, otherwise prepared or preserved, whether or not containing added sugar or other sweetening matter or spirit, not elsewhere specified or included.","Nuts, ground-nuts and other seeds, whether or not mixed together: Other, including mixtures: Other",200819,90,2
2008.20.00,"Fruit, nuts and other edible parts of plants, otherwise prepared or preserved, whether or not containing added sugar or other sweetening matter or spirit, not elsewhere specified or included.",Pineapples,200820,00,2
2008.30.00,"Fruit, nuts and other edible parts of plants, otherwise prepared or preserved, whether or not containing added sugar or other sweetening matter or spirit, not elsewhere specified or included.",Citrus fruit,200830,00,2
2008.40.10,"Fruit, nuts and other edible parts of plants, otherwise prepared or preserved, whether or not containing added sugar or other sweetening matter or spirit, not elsewhere specified or included.",Pears: Pulp,200840,10,2
2008.40.20,"Fruit, nuts and other edible parts of plants, otherwise prepared or preserved, whether or not containing added sugar or other sweetening matter or spirit, not elsewhere specified or included.",Pears: Chips,200840,20,2
2008.40.90,"Fruit, nuts and other edible parts of plants, otherwise prepared or preserved, whether or not containing added sugar or other sweetening matter or spirit, not elsewhere specified or included.",Pears: Other,200840,90,2
2008.50.10,"Fruit, nuts and other edible parts of plants, otherwise prepared or preserved, whether or not containing added sugar or other sweetening matter or spirit, not elsewhere specified or included.",Apricots: Pulp,200850,10,2
2008.50.90,"Fruit, nuts and other edible parts of plants, otherwise prepared or preserved, whether or not containing added sugar or other sweetening matter or spirit, not elsewhere specified or included.",Apricots: Other,200850,90,2
2008.60.10,"Fruit, nuts and other edible parts of plants, otherwise prepared or preserved, whether or not containing added sugar or other sweetening matter or spirit, not elsewhere specified or included.",Cherries: Pulp,200860,10,2
2008.60.90,"Fruit, nuts and other edible parts of plants, otherwise prepared or preserved, whether or not containing added sugar or other sweetening matter or spirit, not elsewhere specified or included.",Cherries: Other,200860,90,2
2008.70.10,"Fruit, nuts and other edible parts of plants, otherwise prepared or preserved, whether or not containing added sugar or other sweetening matter or spirit, not elsewhere specified or included.","Peaches, including nectarines: Pulp",200870,10,2
2008.70.90,"Fruit, nuts and other edible parts of plants, otherwise prepared or preserved, whether or not containing added sugar or other sweetening matter or spirit, not elsewhere specified or included.","Peaches, including nectarines: Other",200870,90,2
2008.80.00,"Fruit, nuts and other edible parts of plants, otherwise prepared or preserved, whether or not containing added sugar or other sweetening matter or spirit, not elsewhere specified or included.",Strawberries,200880,00,2
2008.91.00,"Fruit, nuts and other edible parts of plants, otherwise prepared or preserved, whether or not containing added sugar or other sweetening matter or spirit, not elsewhere specified or included.","Other, including mixtures other than those of subheading 2008.19: Palm hearts",200891,00,2
2008.93.00,"Fruit, nuts and other edible parts of plants, otherwise prepared or preserved, whether or not containing added sugar or other sweetening matter or spirit, not elsewhere specified or included.","Other, including mixtures other than those of subheading 2008.19: Cranberries (Vaccinium macrocarpon, Vaccinium oxycoccos); lingonberries (Vaccinium vitis-idaea): Cranberries (Vaccinium macrocarpon, Vaccinium oxycoccos); lingonberries (Vaccinium vitis-idaea)",200893,00,2
2008.97.10,"Fruit, nuts and other edible parts of plants, otherwise prepared or preserved, whether or not containing added sugar or other sweetening matter or spirit, not elsewhere specified or included.","Other, including mixtures other than those of subheading 2008.19: Mixtures: Consisting of two or more of akalas, akees, anchovy pears, apple-pears, avocados, bananas, bread fruit, carambolas, chayotes, cherimoyas (Jamaica apples), citrus fruit, dasheens (taros), dates, durians, feijoas, figs, fu quas (balsam pears), genipes, ginger, guavas, imbus, jujubes, kiwi fruit, lady apples, litchis (lychees), loquats, magueys, mammees (mammeas), mangoes, mangosteens, manioc (cassava or yucca root), papaws (papayas), passion fruit, pawpaws, persimmons, pineapples, plantains, plumcots, prickly pears, pomegranates, quinces, rangpurs, sapatas, star-apples, sweet potatoes, tamarinds, tangelos, uglifruit, watermelons or yams",200897,10,2
2008.97.90,"Fruit, nuts and other edible parts of plants, otherwise prepared or preserved, whether or not containing added sugar or other sweetening matter or spirit, not elsewhere specified or included.","Other, including mixtures other than those of subheading 2008.19: Mixtures: Other",200897,90,2
2008.99.10,"Fruit, nuts and other edible parts of plants, otherwise prepared or preserved, whether or not containing added sugar or other sweetening matter or spirit, not elsewhere specified or included.","Other, including mixtures other than those of subheading 2008.19: Other: Apple chips",200899,10,2
2008.99.20,"Fruit, nuts and other edible parts of plants, otherwise prepared or preserved, whether or not containing added sugar or other sweetening matter or spirit, not elsewhere specified or included.","Other, including mixtures other than those of subheading 2008.19: Other: Apples, other than pulp",200899,20,2
2008.99.30,"Fruit, nuts and other edible parts of plants, otherwise prepared or preserved, whether or not containing added sugar or other sweetening matter or spirit, not elsewhere specified or included.","Other, including mixtures other than those of subheading 2008.19: Other: Akalas, akees, anchovy pears, apple-pears, avocados, bananas, banana chips (thin banana slices fried or otherwise prepared whether or not salted, sweetened or otherwise flavoured), bread fruit, carambolas, chayotes, cherimoyas (Jamaica apples), dasheens (taros), dates, durians, feijoas, figs, fu quas (balsam pears), genipes, ginger, guavas, imbus, jujubes, kiwi fruit, lady apples, litchis (lychees), loquats, magueys, mammees (mammeas), mangoes, mangosteens, manioc (cassava or yucca root), papaws (papayas), passion fruit, pawpaws, persimmons, plantains, plumcots, prickly pears, pomegranates, quinces, raisins, rangpurs, sapatas, star-apples, sweet potatoes, tamarinds, tangelos, Thompson seedless grapes, uglifruit, watermelons and yams",200899,30,2
2008.99.40,"Fruit, nuts and other edible parts of plants, otherwise prepared or preserved, whether or not containing added sugar or other sweetening matter or spirit, not elsewhere specified or included.","Other, including mixtures other than those of subheading 2008.19: Other: Melons of the genus cucumis melo, cubes, in syrup",200899,40,2
2008.99.90,"Fruit, nuts and other edible parts of plants, otherwise prepared or preserved, whether or not containing added sugar or other sweetening matter or spirit, not elsewhere specified or included.","Other, including mixtures other than those of subheading 2008.19: Other: Other",200899,90,2
2009.11.00,"Fruit or nut juices (including grape must and coconut water) and vegetable juices, unfermented and not containing added spirit, whether or not containing added sugar or other sweetening matter.",Orange juice: Frozen,200911,00,2
2009.19.00,"Fruit or nut juices (including grape must and coconut water) and vegetable juices, unfermented and not containing added spirit, whether or not containing added sugar or other sweetening matter.",Orange juice: Other,200919,00,2
2009.21.00,"Fruit or nut juices (including grape must and coconut water) and vegetable juices, unfermented and not containing added spirit, whether or not containing added sugar or other sweetening matter.",Grapefruit juice; pomelo juice: Of a Brix value not exceeding 20,200921,00,2
2009.29.00,"Fruit or nut juices (including grape must and coconut water) and vegetable juices, unfermented and not containing added spirit, whether or not containing added sugar or other sweetening matter.",Grapefruit juice; pomelo juice: Other,200929,00,2
2009.31.00,"Fruit or nut juices (including grape must and coconut water) and vegetable juices, unfermented and not containing added spirit, whether or not containing added sugar or other sweetening matter.",Juice of any other single citrus fruit: Of a Brix value not exceeding 20,200931,00,2
2009.39.00,"Fruit or nut juices (including grape must and coconut water) and vegetable juices, unfermented and not containing added spirit, whether or not containing added sugar or other sweetening matter.",Juice of any other single citrus fruit: Other,200939,00,2
2009.41.00,"Fruit or nut juices (including grape must and coconut water) and vegetable juices, unfermented and not containing added spirit, whether or not containing added sugar or other sweetening matter.",Pineapple juice: Of a Brix value not exceeding 20,200941,00,2
2009.49.00,"Fruit or nut juices (including grape must and coconut water) and vegetable juices, unfermented and not containing added spirit, whether or not containing added sugar or other sweetening matter.",Pineapple juice: Other,200949,00,2
2009.50.00,"Fruit or nut juices (including grape must and coconut water) and vegetable juices, unfermented and not containing added spirit, whether or not containing added sugar or other sweetening matter.",Tomato juice,200950,00,2
2009.61.10,"Fruit or nut juices (including grape must and coconut water) and vegetable juices, unfermented and not containing added spirit, whether or not containing added sugar or other sweetening matter.",Grape juice (including grape must): Of a Brix value not exceeding 30: Grape juice for wine-making,200961,10,2
2009.61.90,"Fruit or nut juices (including grape must and coconut water) and vegetable juices, unfermented and not containing added spirit, whether or not containing added sugar or other sweetening matter.",Grape juice (including grape must): Of a Brix value not exceeding 30: Other,200961,90,2
